name,actual,values,predicted
"Npplastics 52MM 0.45X DSLR Wide Angle Macro for Nikon, Canon Mechanical Lens Adapter",cameras  accessories,"[0.6623376623376623, 0.4675324675324675, 0.45454545454545453, 0.15584415584415584, 0.4935064935064935, 0.4805194805194805, 0.5194805194805194, 0.44155844155844154, 0.6493506493506493, 0.6623376623376623, 0.33766233766233766, 0.36363636363636365, 0.44155844155844154, 0.6493506493506493, 0.025974025974025976, 0.2857142857142857, 0.38961038961038963, 0.45454545454545453, 0.5844155844155844, 0.2597402597402597, 0.5844155844155844, 0.45454545454545453, 0.16883116883116883, 0.2597402597402597, 0.35064935064935066, 0.0, 0.15584415584415584, 0.24675324675324675, 0.03896103896103896, 0.11688311688311688, 0.12987012987012986, 0.06493506493506493]",clothing
Total TS_NCK185 Gymnastic Stick - 10 inch,sports  fitness,"[0.7818181818181819, 0.5818181818181818, 0.6545454545454545, 0.38181818181818183, 0.7636363636363637, 1.0, 0.7272727272727273, 0.7090909090909091, 0.7818181818181819, 0.7090909090909091, 0.5818181818181818, 0.6909090909090909, 0.6545454545454545, 0.6727272727272727, 0.05454545454545454, 0.5636363636363636, 0.6545454545454545, 0.7272727272727273, 0.7818181818181819, 0.38181818181818183, 0.6363636363636364, 0.4, 0.41818181818181815, 0.3090909090909091, 0.4909090909090909, 0.0, 0.4, 0.3090909090909091, 0.14545454545454545, 0.38181818181818183, 0.14545454545454545, 0.07272727272727272]",sports  fitness
Saihan SHN ES-62 REVLNSHD 1pack  Lens Hood,cameras  accessories,"[0.6896551724137931, 0.6551724137931034, 0.5862068965517241, 0.6551724137931034, 0.7241379310344828, 0.7241379310344828, 0.6896551724137931, 0.6206896551724138, 0.7586206896551724, 0.7931034482758621, 0.6896551724137931, 0.7241379310344828, 0.7241379310344828, 0.7241379310344828, 0.20689655172413793, 0.6551724137931034, 0.5862068965517241, 0.7241379310344828, 0.6896551724137931, 0.5172413793103449, 0.7241379310344828, 0.9310344827586207, 0.6551724137931034, 0.5172413793103449, 0.7241379310344828, 0.0, 0.5517241379310345, 0.5862068965517241, 0.3103448275862069, 0.5517241379310345, 0.06896551724137931, 0.2413793103448276]",cameras  accessories
TheLostPuppy Back Cover for Apple iPad Air,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
kasemantra Back Cover for Apple iPad Mini,mobiles  accessories,"[0.7941176470588235, 0.47058823529411764, 0.5882352941176471, 0.2647058823529412, 0.5588235294117647, 0.5294117647058824, 0.6176470588235294, 0.6176470588235294, 0.7941176470588235, 0.7352941176470589, 0.5294117647058824, 0.4411764705882353, 0.5588235294117647, 1.0, 0.0, 0.5294117647058824, 0.5294117647058824, 0.6470588235294118, 0.6764705882352942, 0.2647058823529412, 0.7647058823529411, 0.29411764705882354, 0.3235294117647059, 0.4117647058823529, 0.4117647058823529, 0.029411764705882353, 0.29411764705882354, 0.29411764705882354, 0.058823529411764705, 0.23529411764705882, 0.29411764705882354, 0.11764705882352941]",mobiles  accessories
Generix OTG for Nexus 6P OTG Cable,mobiles  accessories,"[0.6, 0.525, 0.4, 0.2625, 0.7125, 0.4125, 0.55, 0.45, 0.75, 0.775, 0.4625, 0.4, 0.4375, 1.0, 0.1, 0.475, 0.425, 0.5375, 0.7125, 0.6, 0.8375, 0.4625, 0.3375, 0.55, 0.4625, 0.0125, 0.2875, 0.55, 0.125, 0.375, 0.0625, 0.0875]",mobiles  accessories
Edel Shoulder Bag,bags wallets  belts,"[0.7843137254901961, 0.45098039215686275, 0.6470588235294118, 0.21568627450980393, 0.5098039215686274, 0.45098039215686275, 0.5882352941176471, 0.6274509803921569, 0.5882352941176471, 0.47058823529411764, 0.37254901960784315, 0.5686274509803921, 0.6666666666666666, 0.5882352941176471, 0.0392156862745098, 0.43137254901960786, 0.43137254901960786, 0.7058823529411765, 0.5490196078431373, 0.27450980392156865, 0.49019607843137253, 0.21568627450980393, 0.27450980392156865, 0.21568627450980393, 0.35294117647058826, 0.0, 0.3137254901960784, 0.21568627450980393, 0.13725490196078433, 0.2549019607843137, 0.1568627450980392, 0.0784313725490196]",clothing
TheLostPuppy Back Cover for Apple iPad Air,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
TheLostPuppy Back Cover for Apple iPad Air,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
DailyObjects Back Cover for Apple iPad 2/3/4,mobiles  accessories,"[0.7575757575757576, 0.30303030303030304, 0.5454545454545454, 0.21212121212121213, 0.48484848484848486, 0.3939393939393939, 0.6363636363636364, 0.45454545454545453, 0.696969696969697, 0.5151515151515151, 0.36363636363636365, 0.6060606060606061, 0.5151515151515151, 1.0, 0.06060606060606061, 0.5454545454545454, 0.45454545454545453, 0.5151515151515151, 0.6060606060606061, 0.15151515151515152, 0.5757575757575758, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.3939393939393939, 0.0, 0.21212121212121213, 0.15151515151515152, 0.030303030303030304, 0.18181818181818182, 0.15151515151515152, 0.06060606060606061]",mobiles  accessories
UAG Book Cover for APPLE IPAD MINI 4,mobiles  accessories,"[0.6, 0.4, 0.2, 0.0, 0.6, 0.2, 0.6, 0.6, 0.8, 0.6, 0.4, 0.4, 0.2, 1.0, 0.0, 0.4, 0.4, 0.0, 0.8, 0.2, 1.0, 0.4, 0.4, 0.4, 0.4, 0.0, 0.2, 0.2, 0.0, 0.2, 0.4, 0.0]",mobiles  accessories
Edel Shoulder Bag,bags wallets  belts,"[0.8571428571428571, 0.5238095238095238, 0.8571428571428571, 0.3333333333333333, 0.7142857142857143, 0.7142857142857143, 0.7619047619047619, 1.0, 0.6190476190476191, 0.47619047619047616, 0.5238095238095238, 0.6666666666666666, 0.8095238095238095, 0.6666666666666666, 0.09523809523809523, 0.7142857142857143, 0.6666666666666666, 0.8095238095238095, 0.7142857142857143, 0.3333333333333333, 0.6190476190476191, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.38095238095238093, 0.0, 0.5714285714285714, 0.23809523809523808, 0.3333333333333333, 0.47619047619047616, 0.14285714285714285, 0.09523809523809523]",bags wallets  belts
DailyObjects Back Cover for Apple iPad Mini/Retina Display,mobiles  accessories,"[0.7428571428571429, 0.3142857142857143, 0.5142857142857142, 0.22857142857142856, 0.4857142857142857, 0.4, 0.6285714285714286, 0.42857142857142855, 0.6857142857142857, 0.5142857142857142, 0.37142857142857144, 0.6, 0.4857142857142857, 1.0, 0.05714285714285714, 0.5428571428571428, 0.45714285714285713, 0.5142857142857142, 0.5714285714285714, 0.2, 0.5714285714285714, 0.17142857142857143, 0.2, 0.2, 0.37142857142857144, 0.0, 0.2, 0.2, 0.02857142857142857, 0.17142857142857143, 0.14285714285714285, 0.05714285714285714]",mobiles  accessories
SV Creations Shoulder Bag,bags wallets  belts,"[1.0, 0.6428571428571429, 1.0, 0.42857142857142855, 0.9285714285714286, 0.9285714285714286, 0.8571428571428571, 1.0, 0.7857142857142857, 0.5714285714285714, 0.7142857142857143, 0.8571428571428571, 0.9285714285714286, 0.7857142857142857, 0.14285714285714285, 0.7142857142857143, 0.7857142857142857, 0.9285714285714286, 0.7857142857142857, 0.42857142857142855, 0.8571428571428571, 0.35714285714285715, 0.5714285714285714, 0.35714285714285715, 0.5, 0.0, 0.6428571428571429, 0.2857142857142857, 0.42857142857142855, 0.6428571428571429, 0.14285714285714285, 0.07142857142857142]",clothing
TheLostPuppy Back Cover for Apple iPad Air,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
kasemantra Back Cover for Apple iPad Mini,mobiles  accessories,"[0.8, 0.45714285714285713, 0.6, 0.2857142857142857, 0.5428571428571428, 0.5142857142857142, 0.6, 0.6, 0.8, 0.7142857142857143, 0.5428571428571428, 0.45714285714285713, 0.5714285714285714, 0.9714285714285714, 0.0, 0.5428571428571428, 0.5428571428571428, 0.6571428571428571, 0.6571428571428571, 0.2857142857142857, 0.7428571428571429, 0.3142857142857143, 0.3142857142857143, 0.4, 0.4, 0.02857142857142857, 0.3142857142857143, 0.3142857142857143, 0.05714285714285714, 0.2, 0.2857142857142857, 0.11428571428571428]",mobiles  accessories
Total Care TCMTZC1FB Matte Front & Back Protector for Sony Xperia Z1 Compact,mobiles  accessories,"[0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 1.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.0, 0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0]",mobiles  accessories
TheLostPuppy Back Cover for Apple iPad Air 2,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
BMS Lifestyle Book Cover for Apple iPad 4,mobiles  accessories,"[0.5, 0.5, 0.25, 0.0, 0.5, 0.25, 0.5, 0.5, 0.75, 0.5, 0.25, 0.5, 0.25, 1.0, 0.0, 0.5, 0.25, 0.0, 0.75, 0.25, 1.0, 0.25, 0.5, 0.25, 0.25, 0.0, 0.25, 0.0, 0.0, 0.25, 0.5, 0.0]",mobiles  accessories
TOPQ The Best Smartphone Car Mount,mobiles  accessories,"[0.6086956521739131, 0.4492753623188406, 0.43478260869565216, 0.21739130434782608, 0.5217391304347826, 0.5072463768115942, 0.5072463768115942, 0.5217391304347826, 0.6521739130434783, 0.7536231884057971, 0.5652173913043478, 0.5072463768115942, 0.42028985507246375, 0.782608695652174, 0.043478260869565216, 0.36231884057971014, 0.4057971014492754, 0.5362318840579711, 0.6086956521739131, 0.3333333333333333, 0.6811594202898551, 0.2753623188405797, 0.34782608695652173, 0.2463768115942029, 0.34782608695652173, 0.028985507246376812, 0.2028985507246377, 0.18840579710144928, 0.08695652173913043, 0.15942028985507245, 0.14492753623188406, 0.14492753623188406]",mobiles  accessories
Saviour Hpsav FR SS1 Y Saviour Freedom with Ratchet HDPE -Yellow Construction Helmet,tools  hardware,"[0.6470588235294118, 0.3235294117647059, 0.5294117647058824, 0.2647058823529412, 0.35294117647058826, 0.5588235294117647, 0.4117647058823529, 0.4411764705882353, 0.4411764705882353, 0.5588235294117647, 1.0, 0.4117647058823529, 0.4411764705882353, 0.5, 0.08823529411764706, 0.35294117647058826, 0.38235294117647056, 0.38235294117647056, 0.5, 0.2647058823529412, 0.5588235294117647, 0.2647058823529412, 0.20588235294117646, 0.11764705882352941, 0.23529411764705882, 0.0, 0.11764705882352941, 0.23529411764705882, 0.11764705882352941, 0.11764705882352941, 0.11764705882352941, 0.058823529411764705]",tools  hardware
Vicky Supreme (L) Tennis Ball -   Diameter: 6.5 cm,sports  fitness,"[0.8333333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 1.0, 0.3333333333333333, 0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 0.5, 0.5, 0.5, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.0]",sports  fitness
Bow! Wow!! ROUNDREDLALBIG L Pet Bed,furniture,"[0.7142857142857143, 0.8571428571428571, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.42857142857142855, 0.0, 0.2857142857142857, 0.5714285714285714, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285]",furniture
RRP Alpha X002 USB Led Light,computers,"[0.7586206896551724, 0.5172413793103449, 0.4827586206896552, 0.27586206896551724, 0.6551724137931034, 0.5517241379310345, 0.6551724137931034, 0.41379310344827586, 0.8275862068965517, 0.7586206896551724, 0.41379310344827586, 0.4482758620689655, 0.4827586206896552, 0.7931034482758621, 0.034482758620689655, 0.3448275862068966, 0.6896551724137931, 0.4827586206896552, 0.7931034482758621, 0.4482758620689655, 0.9655172413793104, 0.4482758620689655, 0.4482758620689655, 0.3793103448275862, 0.4827586206896552, 0.0, 0.1724137931034483, 0.3793103448275862, 0.034482758620689655, 0.13793103448275862, 0.13793103448275862, 0.10344827586206896]",computers
tp-Link TL-WR840N,computers,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",computers
S4S Comfortable Women's Full Coverage Bra,clothing,"[1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667, 0.8333333333333334, 0.5833333333333334, 0.0, 0.3333333333333333, 0.5, 0.75, 0.5833333333333334, 0.25, 0.6666666666666666, 0.08333333333333333, 0.25, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",clothing
LG MC3286BLT 32 L Convection Microwave Oven,home  kitchen,"[0.5441176470588235, 0.4166666666666667, 0.3382352941176471, 0.20098039215686275, 0.44607843137254904, 0.37745098039215685, 0.5490196078431373, 0.35294117647058826, 0.5980392156862745, 0.553921568627451, 0.38235294117647056, 0.39215686274509803, 0.38235294117647056, 0.5637254901960784, 0.049019607843137254, 0.3137254901960784, 0.38235294117647056, 0.45588235294117646, 0.553921568627451, 0.6323529411764706, 0.4803921568627451, 0.23039215686274508, 0.29901960784313725, 0.27941176470588236, 0.3333333333333333, 0.004901960784313725, 0.1323529411764706, 0.31862745098039214, 0.04411764705882353, 0.16666666666666666, 0.10784313725490197, 0.08333333333333333]",home  kitchen
Allen Solly Solid Single Breasted Casual Boy's Blazer,clothing,"[1.0, 0.6111111111111112, 0.7222222222222222, 0.4444444444444444, 0.7222222222222222, 0.7222222222222222, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6111111111111112, 0.5555555555555556, 0.7222222222222222, 0.9444444444444444, 0.6666666666666666, 0.16666666666666666, 0.5, 0.7777777777777778, 0.7222222222222222, 0.7777777777777778, 0.3333333333333333, 0.5555555555555556, 0.16666666666666666, 0.3333333333333333, 0.2777777777777778, 0.3888888888888889, 0.0, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.3888888888888889, 0.16666666666666666, 0.05555555555555555]",clothing
snjmart M5 Dual Stereo Dynamic Earphone Wired Headphones,mobiles  accessories,"[0.5076923076923077, 0.4307692307692308, 0.3384615384615385, 0.3076923076923077, 0.49230769230769234, 0.38461538461538464, 0.49230769230769234, 0.4, 0.5230769230769231, 0.6923076923076923, 0.4153846153846154, 0.36923076923076925, 0.3384615384615385, 1.0, 0.09230769230769231, 0.38461538461538464, 0.38461538461538464, 0.4461538461538462, 0.47692307692307695, 0.38461538461538464, 0.7692307692307693, 0.3384615384615385, 0.35384615384615387, 0.7692307692307693, 0.35384615384615387, 0.015384615384615385, 0.27692307692307694, 0.7384615384615385, 0.13846153846153847, 0.24615384615384617, 0.1076923076923077, 0.09230769230769231]",mobiles  accessories
Aussehen Women's Printed Casual Shirt,clothing,"[1.0, 0.3076923076923077, 0.6153846153846154, 0.23076923076923078, 0.38461538461538464, 0.3076923076923077, 0.6923076923076923, 0.6923076923076923, 0.5384615384615384, 0.23076923076923078, 0.5384615384615384, 0.46153846153846156, 0.9230769230769231, 0.5384615384615384, 0.0, 0.38461538461538464, 0.5384615384615384, 0.8461538461538461, 0.6153846153846154, 0.15384615384615385, 0.5384615384615384, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.3076923076923077, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0]",clothing
